campus,branch,marks,year
Pilani,B.E. Chemical,193,2021
Pilani,B.E. Civil,146,2021
Pilani,B.E. Mechanical,227,2021
Pilani,B.E. Computer Science,315,2021
Pilani,B.E. Electronics & Instrumentation,254,2021
Pilani,B.E. Manufacturing,164,2021
Pilani,B. Pharm,163,2021
Pilani,M.Sc. Biological Sciences,195,2021
Pilani,M.Sc. Chemistry,185,2021
Pilani,M.Sc. Economics,251,2021
Pilani,M.Sc. Mathematics,221,2021
Pilani,M.Sc. Physics,218,2021
Pilani,B.E. Electrical & Electronics,263,2021
Goa,B.E. Chemical,125,2021
Goa,B.E. Mechanical,191,2021
Goa,B.E. Electrical & Electronics,236,2021
Goa,B.E. Computer Science,284,2021
Goa,B.E. Electronics & Instrumentation,218,2021
Goa,B.E. Electronics & Communication,254,2021
Goa,M.Sc. Chemistry,137,2021
Goa,M.Sc. Biological Sciences,144,2021
Goa,M.Sc. Economics,231,2021
Goa,M.Sc. Mathematics,197,2021
Goa,M.Sc. Physics,197,2021
Hyderabad,B.E. Chemical,126,2021
Hyderabad,B.E. Civil,128,2021
Hyderabad,B.E. Electrical & Electronics,227,2021
Hyderabad,B.E. Mechanical,166,2021
Hyderabad,B.E. Computer Science,276,2021
Hyderabad,B.E. Electronics & Instrumentation,215,2021
Hyderabad,B.E. Electronics & Communication,247,2021
Hyderabad,B. Pharm,124,2021
Hyderabad,M.Sc. Biological Sciences,136,2021
Hyderabad,M.Sc. Chemistry,128,2021
Hyderabad,M.Sc. Economics,215,2021
Hyderabad,M.Sc. Mathematics,171,2021
Hyderabad,M.Sc. Physics,150,2021
