campus,branch,marks,year
Pilani,B.E. Chemical,247,2024
Pilani,B.E. Civil,238,2024
Pilani,B.E. Mechanical,266,2024
Pilani,B.E. Computer Science,327,2024
Pilani,B.E. Electronics & Instrumentation,282,2024
Pilani,B.E. Manufacturing,243,2024
Pilani,B. Pharm,165,2024
Pilani,B.E. Mathematics and Computing,318,2024
Pilani,M.Sc. Biological Sciences,236,2024
Pilani,M.Sc. Chemistry,241,2024
Pilani,M.Sc. Economics,271,2024
Pilani,M.Sc. Mathematics,256,2024
Pilani,M.Sc. Physics,254,2024
Pilani,B.E. Electrical & Electronics,292,2024
Goa,B.E. Chemical,239,2024
Goa,B.E. Mechanical,254,2024
Goa,B.E. Electrical & Electronics,278,2024
Goa,B.E. Computer Science,301,2024
Goa,B.E. Electronics & Instrumentation,270,2024
Goa,B.E. Electronics & Communication,287,2024
Goa,B.E. Mathematics and Computing,295,2024
Goa,M.Sc. Chemistry,236,2024
Goa,M.Sc. Biological Sciences,234,2024
Goa,M.Sc. Economics,263,2024
Goa,M.Sc. Mathematics,249,2024
Goa,M.Sc. Physics,248,2024
Hyderabad,B.E. Chemical,238,2024
Hyderabad,B.E. Civil,235,2024
Hyderabad,B.E. Electrical & Electronics,275,2024
Hyderabad,B.E. Mechanical,251,2024
Hyderabad,B.E. Computer Science,298,2024
Hyderabad,B.E. Electronics & Instrumentation,270,2024
Hyderabad,B.E. Electronics & Communication,284,2024
Hyderabad,B.E. Mathematics and Computing,293,2024
Hyderabad,B. Pharm,161,2024
Hyderabad,M.Sc. Biological Sciences,234,2024
Hyderabad,M.Sc. Chemistry,235,2024
Hyderabad,M.Sc. Economics,261,2024
Hyderabad,M.Sc. Mathematics,247,2024
Hyderabad,M.Sc. Physics,245,2024
