campus,branch,marks,year
Pilani,B.E. Chemical,234,2020
Pilani,B.E. Civil,220,2020
Pilani,B.E. Mechanical,258,2020
Pilani,B.E. Computer Science,322,2020
Pilani,B.E. Electronics & Instrumentation,280,2020
Pilani,B.E. Manufacturing,219,2020
Pilani,B. Pharm,176,2020
Pilani,M.Sc. Biological Sciences,226,2020
Pilani,M.Sc. Chemistry,223,2020
Pilani,M.Sc. Economics,263,2020
Pilani,M.Sc. Mathematics,247,2020
Pilani,M.Sc. Physics,245,2020
Pilani,B.E. Electrical & Electronics,288,2020
Goa,B.E. Chemical,215,2020
Goa,B.E. Mechanical,233,2020
Goa,B.E. Electrical & Electronics,265,2020
Goa,B.E. Computer Science,300,2020
Goa,B.E. Electronics & Instrumentation,254,2020
Goa,B.E. Electronics & Communication,277,2020
Goa,M.Sc. Chemistry,215,2020
Goa,M.Sc. Biological Sciences,213,2020
Goa,M.Sc. Economics,251,2020
Goa,M.Sc. Mathematics,229,2020
Goa,M.Sc. Physics,234,2020
Hyderabad,B.E. Chemical,208,2020
Hyderabad,B.E. Civil,208,2020
Hyderabad,B.E. Electrical & Electronics,260,2020
Hyderabad,B.E. Mechanical,225,2020
Hyderabad,B.E. Computer Science,291,2020
Hyderabad,B.E. Electronics & Instrumentation,251,2020
Hyderabad,B.E. Electronics & Communication,272,2020
Hyderabad,B. Pharm,139,2020
Hyderabad,M.Sc. Biological Sciences,208,2020
Hyderabad,M.Sc. Chemistry,208,2020
Hyderabad,M.Sc. Economics,243,2020
Hyderabad,M.Sc. Mathematics,222,2020
Hyderabad,M.Sc. Physics,221,2020
