campus,branch,marks,year
Pilani,B.E. Chemical,191,2022
Pilani,B.E. Civil,167,2022
Pilani,B.E. Mechanical,223,2022
Pilani,B.E. Computer Science,320,2022
Pilani,B.E. Electronics & Instrumentation,249,2022
Pilani,B.E. Manufacturing,184,2022
Pilani,B. Pharm,125,2022
Pilani,M.Sc. Biological Sciences,171,2022
Pilani,M.Sc. Chemistry,168,2022
Pilani,M.Sc. Economics,247,2022
Pilani,M.Sc. Mathematics,214,2022
Pilani,M.Sc. Physics,214,2022
Pilani,B.E. Electrical & Electronics,258,2022
Goa,B.E. Chemical,165,2022
Goa,B.E. Mechanical,191,2022
Goa,B.E. Electrical & Electronics,237,2022
Goa,B.E. Computer Science,286,2022
Goa,B.E. Electronics & Instrumentation,224,2022
Goa,B.E. Electronics & Communication,256,2022
Goa,M.Sc. Chemistry,163,2022
Goa,M.Sc. Biological Sciences,164,2022
Goa,M.Sc. Economics,230,2022
Goa,M.Sc. Mathematics,187,2022
Goa,M.Sc. Physics,188,2022
Hyderabad,B.E. Chemical,162,2022
Hyderabad,B.E. Civil,158,2022
Hyderabad,B.E. Electrical & Electronics,230,2022
Hyderabad,B.E. Mechanical,182,2022
Hyderabad,B.E. Computer Science,279,2022
Hyderabad,B.E. Electronics & Instrumentation,222,2022
Hyderabad,B.E. Electronics & Communication,252,2022
Hyderabad,B. Pharm,109,2022
Hyderabad,M.Sc. Biological Sciences,158,2022
Hyderabad,M.Sc. Chemistry,160,2022
Hyderabad,M.Sc. Economics,220,2022
Hyderabad,M.Sc. Mathematics,177,2022
Hyderabad,M.Sc. Physics,173,2022
