campus,branch,marks,year
Pilani,B.E. Chemical,243,2019
Pilani,B.E. Civil,233,2019
Pilani,B.E. Mechanical,271,2019
Pilani,B.E. Computer Science,332,2019
Pilani,B.E. Electronics & Instrumentation,284,2019
Pilani,B.E. Manufacturing,221,2019
Pilani,B. Pharm,169,2019
Pilani,M.Sc. Biological Sciences,229,2019
Pilani,M.Sc. Chemistry,233,2019
Pilani,M.Sc. Economics,273,2019
Pilani,M.Sc. Mathematics,257,2019
Pilani,M.Sc. Physics,251,2019
Pilani,B.E. Electrical & Electronics,295,2019
Goa,B.E. Chemical,220,2019
Goa,B.E. Mechanical,242,2019
Goa,B.E. Electrical & Electronics,268,2019
Goa,B.E. Computer Science,305,2019
Goa,B.E. Electronics & Instrumentation,254,2019
Goa,B.E. Electronics & Communication,279,2019
Goa,M.Sc. Chemistry,221,2019
Goa,M.Sc. Biological Sciences,216,2019
Goa,M.Sc. Economics,255,2019
Goa,M.Sc. Mathematics,239,2019
Goa,M.Sc. Physics,237,2019
Hyderabad,B.E. Chemical,218,2019
Hyderabad,B.E. Civil,220,2019
Hyderabad,B.E. Electrical & Electronics,267,2019
Hyderabad,B.E. Mechanical,238,2019
Hyderabad,B.E. Computer Science,296,2019
Hyderabad,B.E. Electronics & Instrumentation,254,2019
Hyderabad,B.E. Electronics & Communication,275,2019
Hyderabad,B. Pharm,139,2019
Hyderabad,M.Sc. Biological Sciences,214,2019
Hyderabad,M.Sc. Chemistry,215,2019
Hyderabad,M.Sc. Economics,251,2019
Hyderabad,M.Sc. Mathematics,234,2019
Hyderabad,M.Sc. Physics,229,2019
