campus,branch,marks,year
Pilani,B.E. Chemical,210,2025
Pilani,B.E. Civil,206,2025
Pilani,B.E. Mechanical,235,2025
Pilani,B.E. Computer Science,304,2025
Pilani,B.E. Electronics & Instrumentation,250,2025
Pilani,B.E. Manufacturing,211,2025
Pilani,B. Pharm,168,2025
Pilani,B.E. Mathematics and Computing,295,2025
Pilani,M.Sc. Biological Sciences,208,2025
Pilani,M.Sc. Chemistry,212,2025
Pilani,M.Sc. Economics,251,2025
Pilani,M.Sc. Mathematics,229,2025
Pilani,M.Sc. Physics,223,2025
Pilani,B.E. Electrical & Electronics,260,2025
Pilani,B.E. Electrical & Communication,285,2025
Pilani,M.Sc. Semiconductor and Nanoscience,239,2025
Goa,B.E. Chemical,206,2025
Goa,B.E. Mechanical,223,2025
Goa,B.E. Electrical & Electronics,243,2025
Goa,B.E. Computer Science,274,2025
Goa,B.E. Electronics & Instrumentation,234,2025
Goa,B.E. Electronics & Communication,255,2025
Goa,B.E. Electronics and Computer,262,2025
Goa,B.E. Mathematics and Computing,268,2025
Goa,M.Sc. Chemistry,205,2025
Goa,B.E. Environmental and Sustainability,189,2025
Goa,M.Sc. Biological Sciences,203,2025
Goa,M.Sc. Economics,237,2025
Goa,M.Sc. Mathematics,216,2025
Goa,M.Sc. Physics,212,2025
Goa,M.Sc. Semiconductor and Nanoscience,225,2025
Hyderabad,B.E. Chemical,205,2025
Hyderabad,B.E. Civil,203,2025
Hyderabad,B.E. Electrical & Electronics,239,2025
Hyderabad,B.E. Mechanical,214,2025
Hyderabad,B.E. Computer Science,270,2025
Hyderabad,B.E. Electronics & Instrumentation,232,2025
Hyderabad,B.E. Electronics & Communication,256,2025
Hyderabad,B.E. Mathematics and Computing,266,2025
Hyderabad,B. Pharm,151,2025
Hyderabad,M.Sc. Biological Sciences,203,2025
Hyderabad,M.Sc. Chemistry,203,2025
Hyderabad,M.Sc. Economics,231,2025
Hyderabad,M.Sc. Mathematics,212,2025
Hyderabad,M.Sc. Physics,209,2025
Hyderabad,M.Sc. Semiconductor and Nanoscience,225,2025
