campus,branch,marks,year
Pilani,B.E. Chemical,242,2018
Pilani,B.E. Civil,237,2018
Pilani,B.E. Mechanical,271,2018
Pilani,B.E. Computer Science,327,2018
Pilani,B.E. Electronics & Instrumentation,276,2018
Pilani,B.E. Manufacturing,234,2018
Pilani,B. Pharm,184,2018
Pilani,M.Sc. Biological Sciences,224,2018
Pilani,M.Sc. Chemistry,229,2018
Pilani,M.Sc. Economics,267,2018
Pilani,M.Sc. Mathematics,257,2018
Pilani,M.Sc. Physics,249,2018
Pilani,B.E. Electrical & Electronics,293,2018
Goa,B.E. Chemical,225,2018
Goa,B.E. Mechanical,245,2018
Goa,B.E. Electrical & Electronics,267,2018
Goa,B.E. Computer Science,300,2018
Goa,B.E. Electronics & Instrumentation,250,2018
Goa,B.E. Electronics & Communication,272,2018
Goa,M.Sc. Chemistry,221,2018
Goa,M.Sc. Biological Sciences,218,2018
Goa,M.Sc. Economics,253,2018
Goa,M.Sc. Mathematics,240,2018
Goa,M.Sc. Physics,238,2018
Hyderabad,B.E. Chemical,222,2018
Hyderabad,B.E. Civil,223,2018
Hyderabad,B.E. Electrical & Electronics,258,2018
Hyderabad,B.E. Mechanical,238,2018
Hyderabad,B.E. Computer Science,289,2018
Hyderabad,B.E. Electronics & Instrumentation,247,2018
Hyderabad,B.E. Electronics & Communication,270,2018
Hyderabad,B. Pharm,153,2018
Hyderabad,M.Sc. Biological Sciences,216,2018
Hyderabad,M.Sc. Chemistry,220,2018
Hyderabad,M.Sc. Economics,245,2018
Hyderabad,M.Sc. Mathematics,231,2018
Hyderabad,M.Sc. Physics,229,2018
